date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
19450716,1945,45001,United States of America,ALAMOGORDO,DOE,32.54,-105.57,0,0,-0.1,21,21,WR,TRINITY,Atmospheric
19450805,1945,45002,United States of America,HIROSHIMA,DOE,34.23,132.27,0,0,-0.6,15,15,COMBAT,LITTLEBOY,Atmospheric
19450809,1945,45003,United States of America,NAGASAKI,DOE,32.45,129.52,0,0,-0.6,21,21,COMBAT,FATMAN,Atmospheric
19460630,1946,46001,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.2,21,21,WE,ABLE,Atmospheric
19460724,1946,46002,United States of America,BIKINI,DOE,11.35,165.2,0,0,0.03,21,21,WE,BAKER,Underwater
19480414,1948,48001,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,37,37,WR,X-RAY,Atmospheric
19480430,1948,48002,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,49,49,WR,YOKE,Atmospheric
19480514,1948,48003,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,18,18,WR,ZEBRA,Atmospheric
19490829,1949,49001,Russia,SEMI KAZAKH,DOE,48,76,0,0,0,22,22,WR,UNKNOWN,Surface
19510127,1951,51001,United States of America,NTS,DOE,37,-116,0,0,-0.35,1,1,WR,ABLE,Atmospheric
19510128,1951,51002,United States of America,NTS,DOE,37,-116,0,0,-0.35,8,8,WR,BAKER,Atmospheric
19510201,1951,51003,United States of America,NTS,DOE,37,-116,0,0,-0.35,1,1,WR,EASY,Atmospheric
19510202,1951,51004,United States of America,NTS,DOE,37,-116,0,0,-0.4,8,8,WR,BAKER2,Atmospheric
19510206,1951,51005,United States of America,NTS,DOE,37,-116,0,0,-0.5,22,22,WR,FOX,Atmospheric
19510407,1951,51006,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,81,81,WR,DOG,Atmospheric
19510420,1951,51007,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,47,47,WR,EASY,Atmospheric
19510508,1951,51008,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.07,225,225,WR,GEORGE,Atmospheric
19510524,1951,51009,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.07,45.5,45.5,WR,ITEM,Atmospheric
19510924,1951,51010,Russia,SEMI KAZAKH,DOE,48,76,0,0,0,38,38,WR,UNKNOWN,Surface
19511018,1951,51011,Russia,SEMI KAZAKH,DOE,48,76,0,0,0,42,42,WR,UNKNOWN,Atmospheric
19511022,1951,51012,United States of America,NTS,DOE,37,-116,0,0,-0.03,0,0.1,WR,ABLE,Atmospheric
19511028,1951,51013,United States of America,NTS,DOE,37,-116,0,0,-0.4,3.5,3.5,WR,BAKER,Atmospheric
19511030,1951,51014,United States of America,NTS,DOE,37,-116,0,0,-0.4,14,14,WR,CHARLIE,Atmospheric
19511101,1951,51015,United States of America,NTS,DOE,37,-116,0,0,-0.5,21,21,WR,DOG,Atmospheric
19511105,1951,51016,United States of America,NTS,DOE,37,-116,0,0,-0.45,31,31,WR,EASY,Atmospheric
19511119,1951,51017,United States of America,NTS,DOE,37,-116,0,0,-0.001,1.2,1.2,WE,SUGAR,Surface
19511129,1951,51018,United States of America,NTS,DOE,37,-116,0,0,0.01,1.2,1.2,WE,UNCLE,Surface
19520401,1952,52001,United States of America,NTS,DOE,37,-116,0,0,-0.25,1,1,WE,ABLE,Atmospheric
19520415,1952,52002,United States of America,NTS,DOE,37,-116,0,0,-0.35,1,1,WE,BAKER,Atmospheric
19520422,1952,52003,United States of America,NTS,DOE,37,-116,0,0,-1.15,31,31,WR,CHARLIE,Atmospheric
19520501,1952,52004,United States of America,NTS,DOE,37,-116,0,0,-0.35,19,19,WR,DOG,Atmospheric
19520507,1952,52005,United States of America,NTS,DOE,37,-116,0,0,-0.1,12,12,WR,EASY,Atmospheric
19520525,1952,52006,United States of America,NTS,DOE,37,-116,0,0,-0.1,11,11,WR,FOX,Atmospheric
19520601,1952,52007,United States of America,NTS,DOE,37,-116,0,0,-0.1,15,15,WR,GEORGE,Atmospheric
19520605,1952,52008,United States of America,NTS,DOE,37,-116,0,0,-0.1,14,14,WR,HOW,Atmospheric
19521003,1952,52009,United Kingdom,MONTEB AUSTR,DOE,-20.4,115.57,0,0,-0.001,25,25,WE,HURRICANE,Water Surface
19521031,1952,52010,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,10400,10400,WR,MIKE,Surface
19521115,1952,52011,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.5,500,500,WR,KING,Atmospheric
19530317,1953,53001,United States of America,NTS,DOE,37,-116,0,0,-0.1,16,16,WR,ANNIE,Atmospheric
19530324,1953,53002,United States of America,NTS,DOE,37,-116,0,0,-0.1,24,24,WR,NANCY,Atmospheric
19530331,1953,53003,United States of America,NTS,DOE,37,-116,0,0,-0.1,0.2,0.2,WR,RUTH,Atmospheric
19530406,1953,53004,United States of America,NTS,DOE,37,-116,0,0,-2,11,11,WR,DIXIE,Atmospheric
19530411,1953,53005,United States of America,NTS,DOE,37,-116,0,0,-0.03,0.2,0.2,WR,RAY,Atmospheric
19530418,1953,53006,United States of America,NTS,DOE,37,-116,0,0,-0.1,23,23,WR,BADGER,Atmospheric
19530425,1953,53007,United States of America,NTS,DOE,37,-116,0,0,-0.1,43,43,WR,SIMON,Atmospheric
19530508,1953,53008,United States of America,NTS,DOE,37,-116,0,0,-0.8,27,27,WE,ENCORE,Atmospheric
19530519,1953,53009,United States of America,NTS,DOE,37,-116,0,0,-0.1,32,32,WR,HARRY,Atmospheric
19530525,1953,53010,United States of America,NTS,DOE,37,-116,0,0,-0.2,15,15,WR,GRABLE,Atmospheric
19530604,1953,53011,United States of America,NTS,DOE,37,-116,0,0,-0.4,61,61,WR,CLIMAX,Atmospheric
19530812,1953,53012,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,400,400,WR,UNKNOWN,Surface
19530823,1953,53013,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,28,28,WR,UNKNOWN,Atmospheric
19530903,1953,53014,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,5.8,5.8,WR,UNKNOWN,Atmospheric
19530908,1953,53015,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,1.6,1.6,WR,UNKNOWN,Atmospheric
19530910,1953,53016,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,4.9,4.9,WR,UNKNOWN,Atmospheric
