Year,China,France,India,Israel,Pakistan,Russia,United Kingdom,United States of America
1945,0,0,0,0,0,0,0,2
1946,0,0,0,0,0,0,0,9
1947,0,0,0,0,0,0,0,13
1948,0,0,0,0,0,0,0,50
1949,0,0,0,0,0,1,0,170
1950,0,0,0,0,0,5,0,299
1951,0,0,0,0,0,25,0,438
1952,0,0,0,0,0,50,0,841
1953,0,0,0,0,0,120,1,1169
1954,0,0,0,0,0,150,5,1703
1955,0,0,0,0,0,200,10,2422
1956,0,0,0,0,0,426,50,3692
1957,0,0,0,0,0,660,58,5543
1958,0,0,0,0,0,863,60,7345
1959,0,0,0,0,0,1048,78,12298
1960,0,0,0,0,0,1627,105,18638
1961,0,0,0,0,0,2492,155,22229
1962,0,0,0,0,0,3346,211,25540
1963,0,0,0,0,0,4259,256,28133
1964,1,4,0,0,0,5242,271,29463
1965,5,32,0,0,0,6144,271,31139
1966,20,36,0,0,0,7091,281,31175
1967,25,36,0,2,0,8400,355,31255
1968,35,36,0,4,0,9490,317,29561
1969,50,36,0,6,0,10671,306,27552
1970,75,36,0,8,0,11736,375,26008
1971,100,45,0,11,0,13279,412,25830
1972,130,70,0,13,0,14600,423,26516
1973,150,116,0,15,0,15878,500,27835
1974,170,145,0,17,0,17286,500,28537
1975,180,188,0,20,0,19235,500,27519
1976,180,212,0,22,0,22165,500,25914
1977,180,228,0,24,0,24281,500,25542
1978,190,235,0,26,0,26169,500,24418
1979,195,235,0,29,0,28258,500,24138
1980,205,250,0,31,0,30665,500,24104
1981,210,274,0,33,0,32146,500,23208
1982,216,274,0,35,0,33486,385,22886
1983,218,279,0,38,0,35130,380,23305
1984,220,280,0,40,0,36825,350,23459
1985,222,360,0,42,0,38582,350,23368
1986,224,355,0,44,0,40159,350,23317
1987,226,420,0,47,0,38107,350,23575
1988,228,410,0,49,0,36538,350,23205
1989,230,410,0,51,0,35078,350,22217
1990,232,505,0,53,0,32980,350,21392
1991,234,540,0,56,0,29154,350,19008
1992,234,540,0,58,0,26734,250,13708
1993,234,525,0,60,0,24403,250,11511
1994,234,510,0,62,0,21339,250,10979
1995,234,500,0,63,0,18179,234,10904
1996,234,450,0,64,0,15942,203,11011
1997,232,450,0,66,0,15442,203,10903
1998,232,450,3,68,2,14368,240,10732
1999,232,450,8,70,8,13188,240,10685
2000,232,470,13,72,14,12188,280,10577
2001,235,350,18,74,20,11152,280,10526
2002,235,350,23,76,26,10114,280,10457
2003,235,350,28,78,32,9076,280,10027
2004,235,350,33,80,38,8038,280,8570
2005,235,350,38,80,44,7000,280,8360
2006,235,350,43,80,50,6643,225,7853
2007,235,350,50,80,60,6286,225,5709
2008,235,300,60,80,70,5929,225,5273
2009,240,300,70,80,80,5527,225,5113
2010,240,300,80,80,90,5215,225,4950
2011,240,300,90,80,100,4858,225,4763
2012,240,300,100,80,110,4500,225,4680
2013,250,300,110,80,120,4480,225,4650
2014,250,300,110,80,120,4300,225,4760
